# Day P4-01 (day1) 每日答案词表
# 提取自 day1-words.pdf。每行:英文 <|> 中文提示(原文无提示的词留空)

water | 水
transport |
business |
school |
traffic |
certificate |
climate | 气候
environment | 环境
interview |
pollution | 污染
population | 人口
communication | 交流
experience |
food |
market |
migration | 迁徙/迁移
negative |
social |
material | 材料
conference |
chemical | 化学物质
university |
interaction |
quality | 质量
risk | 风险
technology | 技术
traditional |
transportation |
energy | 能源
engineering |
estimate |
expectation |
flooding |
freedom |
frequency |
gender |
job |
obligation |
packaging |
pattern |
poverty |
protection | 保护
reason |
recording |
reliable |
science | 科学
shipping |
stress |
survey |
trade |
resource | 资源
benefit |
behaviour |
economy | 经济
culture | 文化
agriculture |
genetic |
immune |
income |
industry | 产业
journalism |
laboratory |
learning |
mapping |
sediment |
survival |
reduction |
efficient |
modern |
building |
college |
commercial |
complex |
computing |
conservation | 保护
contract |
declining |
depression |
economic |
efficiency |
electrical |
health |
mobility |
organic |
participation |
process | 过程
profit |
purpose |
qualification |
reaction |
scientific |
security |
solution | 解决方案
threat |
trend | 趋势
variable |
impact | 影响
insurance |
light |
forest | 森林
temperature | 温度
weather | 天气
wood |
depth |
